state,district,season,latitude,longitude,n_index,p_index,k_index,ph_index,oc_high,oc_medium,oc_low,ec_nonsaline,ec_saline,temp,humidity,rainfall,crop,area,production,yield
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Rice,0.56,1.78,3164.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Maize,0.0,0.0,4586.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Bajra,0.01,0.01,1101.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Ragi,0.0,0.0,1881.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Shree Anna /Nutri Cereals,0.01,0.01,1131.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Nutri/Coarse Cereals,0.01,0.01,1251.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Cereals,0.57,1.79,3137.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Tur,0.0,0.0,735.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Urad,0.0,0.0,990.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Moong,0.0,0.0,451.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Other Pulses,0.0,0.0,900.0
Andhra Pradesh,anakapalli,kharif,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,26.79624183006536,84.35460784313726,7.298807189542483,Total Food Grains,0.58,1.8,3116.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Rice,0.01,0.04,3126.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Maize,0.0,0.0,8619.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Nutri/Coarse Cereals,0.0,0.0,8619.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Cereals,0.01,0.04,3333.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Urad,0.09,0.06,692.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Moong,0.03,0.02,624.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Other Pulses,0.0,0.0,558.0
Andhra Pradesh,anakapalli,rabi,17.6715331,82.7747567,84.642,171.7,135.31,1314.405,3877,4534,10367,18400,373,24.0016049382716,74.87582990397804,1.9383950617283952,Total Food Grains,0.14,0.13,924.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Rice,0.22,0.74,3431.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Maize,0.2,1.0,5006.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Jowar,0.02,0.01,255.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Bajra,0.03,0.04,1340.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Ragi,0.0,0.0,1339.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Small Millets,0.09,0.09,899.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Shree Anna /Nutri Cereals,0.15,0.13,902.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Nutri/Coarse Cereals,0.35,1.13,3250.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Cereals,0.56,1.88,3319.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Tur,1.03,0.16,155.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Urad,0.0,0.0,771.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Moong,0.0,0.0,309.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Other Pulses,0.02,0.01,318.0
Andhra Pradesh,anantapur,kharif,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,26.435130718954248,73.31640522875817,3.5879738562091505,Total Food Grains,1.63,2.05,1254.0
Andhra Pradesh,anantapur,rabi,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,25.04285322359396,64.07037037037037,1.1379698216735252,Rice,0.05,0.13,2789.0
Andhra Pradesh,anantapur,rabi,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,25.04285322359396,64.07037037037037,1.1379698216735252,Maize,0.07,0.38,5655.0
Andhra Pradesh,anantapur,rabi,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,25.04285322359396,64.07037037037037,1.1379698216735252,Jowar,0.06,0.07,1101.0
Andhra Pradesh,anantapur,rabi,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,25.04285322359396,64.07037037037037,1.1379698216735252,Shree Anna /Nutri Cereals,0.06,0.07,1101.0
Andhra Pradesh,anantapur,rabi,14.6783221,77.6065039,41.56,166.306,158.59,1302.515,100,1800,16697,18457,141,25.04285322359396,64.07037037037037,1.1379698216735252,Nutri/Coarse Cereals,0.13,0.45,3463.0
